,0,1,2
333,"'AUTOPISTA MUZU ORIENTAL, 004413 (334)'",4.596354979166667,-74.11653416666667
334,"'CLARET, 002308 (335)'",4.584128666666667,-74.12809076666666
335,"'RINCON DE GALICIA, 002424 (336)'",4.587372222222222,-74.17357955555555
336,"'SANTA LIBRADA NORTE, 002528 (337)'",4.516804735294118,-74.1125310245098
337,"'CHAPINERO NORTE, 008214 (338)'",4.649659042553193,-74.06102636170212
338,"'SAN MIGUEL, 005103 (339)'",4.6618258260869565,-74.07850665217391
339,"'EL TUNO, 002634 (340)'",4.48643737755102,-74.11060141836734
340,"'SIERRA MORENA, 002438 (341)'",4.580931204225353,-74.16219494366196
341,"'DANUBIO II, 002577 (342)'",4.538771982905983,-74.11160866666667
342,"'GARCES NAVAS SUR, 005655 (343)'",4.7131212,-74.12345026666667
343,"'VERAGUAS, 004109 (344)'",4.604141388571429,-74.09968117142857
